participant,isMale,leftHanded,age,weight,height,HowReligious,nSibling,smoke,romantic,education1_you,education_father,education_mother,conservative_you,conservative_father,conservative_mother,income_you,income_parent,cityGrewupPopulation,cityGrewupSize,cityGrewupConservative,cityNowPopulation,cityNowSize,cityNowConservative
2625ZL,1,0,20,160,71,5,2,1,6,2,3,1,3,5,2,1,6,2,2,5,6,5,2
2627ZL,0,0,19,140,69,2,2,1,5,2,3,5,5,4,3,1,5,4,2,5,5,2,2
2630ZL,0,0,18,130,64,1,1,1,1,2,3,3,2,3,2,1,5,5,3,4,6,5,2
2631ZL,1,0,24,190,71,1,2,1,6,2,3,3,2,2,3,1,3,3,3,5,7,5,2
2632ZL,1,0,22,185,71,5,5,1,1,2,4,3,3,5,5,1,3,1,1,5,6,5,2
2633ZL,0,0,20,145,69,4,3,1,3,2,5,3,1,3,3,1,6,3,3,4,6,5,3
2634ZL,1,0,21,170,71,5,3,1,1,2,3,1,3,5,5,1,5,2,2,4,6,5,2
2636ZL,0,0,19,140,66,2,2,1,5,2,1,2,3,4,2,1,2,3,4,4,6,5,2
2637ZL,0,1,20,150,66,2,2,1,4,2,5,5,2,5,2,1,4,3,3,5,3,3,3
2638ZL,0,0,19,160,66,4,2,1,1,2,2,3,3,3,3,1,2,2,3,3,3,3,3
2639ZL,1,0,18,166,69,2,1,1,1,2,3,3,2,4,2,1,6,6,3,3,6,3,4
2640ZL,1,0,19,140,72,2,2,1,1,2,2,2,4,6,5,1,5,2,2,3,6,5,2
2641ZL,0,0,21,185,65,3,3,1,1,2,1,3,2,3,5,1,5,6,5,2,6,5,2
2642ZL,0,0,18,150,70,3,2,1,1,2,3,3,3,5,4,1,6,3,3,4,6,5,2
2643ZL,1,0,21,187,75,3,3,1,3,2,3,5,6,5,6,1,6,2,3,4,6,5,3
2644ZL,0,1,22,270,69,4,3,1,2,2,2,3,2,4,4,1,3,7,5,1,7,5,2
2645ZL,1,0,20,173,72,4,3,1,1,4,5,5,3,5,3,1,4,5,4,5,7,5,2
2647ZL,0,0,20,170,67,2,1,1,2,2,1,1,3,4,4,1,3,5,5,3,6,5,2
2648ZL,0,0,19,120,64,5,2,1,3,2,3,3,2,1,2,1,4,3,3,5,4,5,3
2649ZL,1,0,20,155,70,6,2,1,1,2,5,4,5,6,6,1,6,3,3,6,6,5,2
2651ZL,0,0,18,140,63,1,2,1,3,2,3,3,2,4,4,1,1,3,3,6,4,5,2
2652ZL,0,0,20,150,67,3,5,1,1,2,5,3,5,6,5,1,6,3,3,5,3,3,5
2653ZL,1,0,20,160,71,2,3,1,1,2,5,5,1,4,4,1,5,3,3,4,6,5,2
2654ZL,1,0,19,145,70,3,3,1,6,2,3,2,4,5,5,1,4,4,3,5,4,3,5
2655ZL,1,0,20,170,75,4,2,1,1,2,3,1,5,5,5,1,6,3,3,5,7,5,1
2656ZL,0,1,19,124,63,4,2,1,5,1,3,3,5,5,4,1,4,5,4,5,6,5,2
2657ZL,0,0,19,104,63,4,1,1,1,2,2,1,3,3,3,1,2,3,4,3,6,5,2
2658ZL,1,0,19.75,138,69,1,2,1,3,2,3,3,1,2,1,1,5,2,3,5,2,3,5
2660ZL,0,0,18,145,65,1,3,1,1,2,3,5,3,3,1,1,3,5,4,5,6,5,3
2661ZL,1,0,20,184,71,4,3,1,1,2,5,3,4,4,4,1,3,5,4,4,6,5,5
2663ZL,0,0,18,165,71,3,2,1,3,2,1,3,2,2,3,1,4,4,3,6,6,5,2
2666ZL,0,1,20,127,65,3,2,1,4,2,3,3,3,3,2,1,3,5,4,3,7,5,3
2667ZL,1,0,18,125,74,6,2,1,1,2,5,5,4,3,6,1,6,4,3,4,4,4,2
2670ZL,0,0,18,150,66,3,2,1,1,2,1,1,3,6,5,1,3,3,3,6,7,5,2
2672ZL,0,0,19,145,68,3,3,1,1,2,3,2,4,6,5,1,6,3,3,4,6,5,2
2673ZL,1,1,19,212,72,4,2,1,4,2,1,3,3,2,3,1,4,6,5,2,6,5,2
2677ZL,1,0,22,160,69.5,4,2,1,2,2,1,1,4,4,5,1,1,3,3,4,5,5,3
2678ZL,1,0,21,162,71,2,4,1,1,2,1,1,3,6,6,1,3,4,3,3,6,5,3
2679ZL,0,0,19,150,64,5,4,1,1,2,5,5,4,6,6,1,6,2,4,4,5,5,2
2680ZL,1,0,20,173,70,3,1,1,5,2,3,3,5,5,5,1,6,3,3,6,7,5,3
2682ZL,0,0,19,120,67,5,3,1,1,2,3,2,4,4,4,1,1,3,2,5,6,5,2
2684ZL,0,0,20,100,64,2,1,1,3,3,3,5,2,1,6,1,3,7,5,4,3,5,2
2687ZL,0,0,20,130,64,1,2,1,2,2,5,3,3,5,5,1,6,2,3,4,6,5,2
2688ZL,1,0,18,150,70,2,2,1,3,2,5,3,2,5,4,1,4,4,4,4,6,5,2
2689ZL,0,0,18,168,66,4,4,1,1,2,3,3,1,2,2,1,1,3,5,2,3,5,3
2692ZL,0,0,24,148,68,4,3,1,3,4,3,3,2,4,3,1,3,6,3,4,6,5,3
2693ZL,0,0,35,167,67,2,4,1,1,5,2,2,2,6,6,2,3,2,2,6,4,4,2
